,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Pclass_1,Pclass_2,Pclass_3,title,male,cabin_deck,Embarked_s,Embarked_q,Embarked_c,family_size,is_alone,is_child,is_senior
0,1,0,3,male,22.0,1,0,7.25,,S,0,0,1,Mr,1,6,1,0,0,2,0,0,0
1,2,1,1,female,38.0,1,0,71.2833,C85,C,1,0,0,Mrs,0,3,0,0,1,2,0,0,0
2,3,1,3,female,26.0,0,0,7.925,,S,0,0,1,Miss,0,6,1,0,0,1,1,0,0
3,4,1,1,female,35.0,1,0,53.1,C123,S,1,0,0,Mrs,0,3,1,0,0,2,0,0,0
4,5,0,3,male,35.0,0,0,8.05,,S,0,0,1,Mr,1,6,1,0,0,1,1,0,0
5,6,0,3,male,31.0,0,0,8.4583,,Q,0,0,1,Mr,1,6,0,1,0,1,1,0,0
6,7,0,1,male,54.0,0,0,51.8625,E46,S,1,0,0,Mr,1,5,1,0,0,1,1,0,1
7,8,0,3,male,2.0,3,1,21.075,,S,0,0,1,Master,1,7,1,0,0,5,0,1,0
8,9,1,3,female,27.0,0,2,11.1333,,S,0,0,1,Mrs,0,6,1,0,0,3,0,0,0
9,10,1,2,female,14.0,1,0,30.0708,,C,0,1,0,Mrs,0,5,0,0,1,2,0,1,0
10,11,1,3,female,4.0,1,1,16.7,G6,S,0,0,1,Miss,0,7,1,0,0,3,0,1,0
11,12,1,1,female,58.0,0,0,26.55,C103,S,1,0,0,Miss,0,3,1,0,0,1,1,0,1
12,13,0,3,male,20.0,0,0,8.05,,S,0,0,1,Mr,1,6,1,0,0,1,1,0,0
13,14,0,3,male,39.0,1,5,31.275,,S,0,0,1,Mr,1,7,1,0,0,7,0,0,0
14,15,0,3,female,14.0,0,0,7.8542,,S,0,0,1,Miss,0,6,1,0,0,1,1,1,0
15,16,1,2,female,55.0,0,0,16.0,,S,0,1,0,Mrs,0,5,1,0,0,1,1,0,1
16,17,0,3,male,2.0,4,1,29.125,,Q,0,0,1,Master,1,7,0,1,0,6,0,1,0
17,18,1,2,male,31.0,0,0,13.0,,S,0,1,0,Mr,1,4,1,0,0,1,1,0,0
18,19,0,3,female,31.0,1,0,18.0,,S,0,0,1,Mrs,0,6,1,0,0,2,0,0,0
19,20,1,3,female,28.0,0,0,7.225,,C,0,0,1,Mrs,0,6,0,0,1,1,1,0,0
20,21,0,2,male,35.0,0,0,26.0,,S,0,1,0,Mr,1,4,1,0,0,1,1,0,0
21,22,1,2,male,34.0,0,0,13.0,D56,S,0,1,0,Mr,1,4,1,0,0,1,1,0,0
22,23,1,3,female,15.0,0,0,8.0292,,Q,0,0,1,Miss,0,6,0,1,0,1,1,1,0
23,24,1,1,male,28.0,0,0,35.5,A6,S,1,0,0,Mr,1,1,1,0,0,1,1,0,0
24,25,0,3,female,8.0,3,1,21.075,,S,0,0,1,Miss,0,7,1,0,0,5,0,1,0
25,26,1,3,female,38.0,1,5,31.3875,,S,0,0,1,Mrs,0,7,1,0,0,7,0,0,0
26,27,0,3,male,31.0,0,0,7.225,,C,0,0,1,Mr,1,6,0,0,1,1,1,0,0
27,29,1,3,female,28.0,0,0,7.8792,,Q,0,0,1,Miss,0,6,0,1,0,1,1,0,0
28,30,0,3,male,31.0,0,0,7.8958,,S,0,0,1,Mr,1,6,1,0,0,1,1,0,0
29,31,0,1,male,40.0,0,0,27.7208,,C,1,0,0,Mr,1,3,0,0,1,1,1,0,0
30,32,1,1,female,28.0,1,0,146.5208,B78,C,1,0,0,Mrs,0,2,0,0,1,2,0,0,0
31,33,1,3,female,28.0,0,0,7.75,,Q,0,0,1,Miss,0,6,0,1,0,1,1,0,0
32,34,0,2,male,66.0,0,0,10.5,,S,0,1,0,Mr,1,4,1,0,0,1,1,0,1
33,35,0,1,male,28.0,1,0,82.1708,,C,1,0,0,Mr,1,3,0,0,1,2,0,0,0
34,36,0,1,male,42.0,1,0,52.0,,S,1,0,0,Mr,1,3,1,0,0,2,0,0,0
35,37,1,3,male,31.0,0,0,7.2292,,C,0,0,1,Mr,1,6,0,0,1,1,1,0,0
36,38,0,3,male,21.0,0,0,8.05,,S,0,0,1,Mr,1,6,1,0,0,1,1,0,0
37,39,0,3,female,18.0,2,0,18.0,,S,0,0,1,Miss,0,7,1,0,0,3,0,0,0
38,40,1,3,female,14.0,1,0,11.2417,,C,0,0,1,Miss,0,6,0,0,1,2,0,1,0
39,41,0,3,female,40.0,1,0,9.475,,S,0,0,1,Mrs,0,6,1,0,0,2,0,0,0
40,42,0,2,female,27.0,1,0,21.0,,S,0,1,0,Mrs,0,5,1,0,0,2,0,0,0
41,43,0,3,male,31.0,0,0,7.8958,,C,0,0,1,Mr,1,6,0,0,1,1,1,0,0
42,44,1,2,female,3.0,1,2,41.5792,,C,0,1,0,Miss,0,5,0,0,1,4,0,1,0
43,45,1,3,female,19.0,0,0,7.8792,,Q,0,0,1,Miss,0,6,0,1,0,1,1,0,0
44,46,0,3,male,31.0,0,0,8.05,,S,0,0,1,Mr,1,6,1,0,0,1,1,0,0
45,47,0,3,male,31.0,1,0,15.5,,Q,0,0,1,Mr,1,6,0,1,0,2,0,0,0
46,48,1,3,female,28.0,0,0,7.75,,Q,0,0,1,Miss,0,6,0,1,0,1,1,0,0
47,49,0,3,male,31.0,2,0,21.6792,,C,0,0,1,Mr,1,7,0,0,1,3,0,0,0
48,50,0,3,female,18.0,1,0,17.8,,S,0,0,1,Mrs,0,6,1,0,0,2,0,0,0
49,51,0,3,male,7.0,4,1,39.6875,,S,0,0,1,Master,1,7,1,0,0,6,0,1,0
50,52,0,3,male,21.0,0,0,7.8,,S,0,0,1,Mr,1,6,1,0,0,1,1,0,0
51,53,1,1,female,49.0,1,0,76.7292,D33,C,1,0,0,Mrs,0,4,0,0,1,2,0,0,0
52,54,1,2,female,29.0,1,0,26.0,,S,0,1,0,Mrs,0,5,1,0,0,2,0,0,0
53,55,0,1,male,65.0,0,1,61.9792,B30,C,1,0,0,Mr,1,2,0,0,1,2,0,0,1
54,56,1,1,male,31.0,0,0,35.5,C52,S,1,0,0,Mr,1,3,1,0,0,1,1,0,0
55,57,1,2,female,21.0,0,0,10.5,,S,0,1,0,Miss,0,5,1,0,0,1,1,0,0
56,58,0,3,male,28.5,0,0,7.2292,,C,0,0,1,Mr,1,6,0,0,1,1,1,0,0
57,59,1,2,female,5.0,1,2,27.75,,S,0,1,0,Miss,0,5,1,0,0,4,0,1,0
58,60,0,3,male,11.0,5,2,46.9,,S,0,0,1,Master,1,8,1,0,0,8,0,1,0
59,61,0,3,male,22.0,0,0,7.2292,,C,0,0,1,Mr,1,6,0,0,1,1,1,0,0
60,62,1,1,female,38.0,0,0,80.0,B28,S,1,0,0,Miss,0,2,1,0,0,1,1,0,0
61,63,0,1,male,45.0,1,0,83.475,C83,S,1,0,0,Mr,1,3,1,0,0,2,0,0,0
62,64,0,3,male,4.0,3,2,27.9,,S,0,0,1,Master,1,7,1,0,0,6,0,1,0
63,65,0,1,male,31.0,0,0,27.7208,,C,1,0,0,Mr,1,3,0,0,1,1,1,0,0
64,66,1,3,male,31.0,1,1,15.2458,,C,0,0,1,Master,1,6,0,0,1,3,0,0,0
65,67,1,2,female,29.0,0,0,10.5,F33,S,0,1,0,Mrs,0,6,1,0,0,1,1,0,0
66,68,0,3,male,19.0,0,0,8.1583,,S,0,0,1,Mr,1,6,1,0,0,1,1,0,0
67,69,1,3,female,17.0,4,2,7.925,,S,0,0,1,Miss,0,8,1,0,0,7,0,0,0
68,70,0,3,male,26.0,2,0,8.6625,,S,0,0,1,Mr,1,7,1,0,0,3,0,0,0
69,71,0,2,male,32.0,0,0,10.5,,S,0,1,0,Mr,1,5,1,0,0,1,1,0,0
70,72,0,3,female,16.0,5,2,46.9,,S,0,0,1,Miss,0,8,1,0,0,8,0,1,0
71,73,0,2,male,21.0,0,0,73.5,,S,0,1,0,Mr,1,4,1,0,0,1,1,0,0
72,74,0,3,male,26.0,1,0,14.4542,,C,0,0,1,Mr,1,6,0,0,1,2,0,0,0
73,75,1,3,male,32.0,0,0,56.4958,,S,0,0,1,Mr,1,6,1,0,0,1,1,0,0
74,76,0,3,male,25.0,0,0,7.65,F G73,S,0,0,1,Mr,1,6,1,0,0,1,1,0,0
75,77,0,3,male,31.0,0,0,7.8958,,S,0,0,1,Mr,1,6,1,0,0,1,1,0,0
76,78,0,3,male,31.0,0,0,8.05,,S,0,0,1,Mr,1,6,1,0,0,1,1,0,0
77,79,1,2,male,0.83,0,2,29.0,,S,0,1,0,Master,1,5,1,0,0,3,0,1,0
78,80,1,3,female,30.0,0,0,12.475,,S,0,0,1,Miss,0,6,1,0,0,1,1,0,0
79,81,0,3,male,22.0,0,0,9.0,,S,0,0,1,Mr,1,6,1,0,0,1,1,0,0
80,82,1,3,male,29.0,0,0,9.5,,S,0,0,1,Mr,1,6,1,0,0,1,1,0,0
81,83,1,3,female,28.0,0,0,7.7875,,Q,0,0,1,Miss,0,6,0,1,0,1,1,0,0
82,84,0,1,male,28.0,0,0,47.1,,S,1,0,0,Mr,1,3,1,0,0,1,1,0,0
83,85,1,2,female,17.0,0,0,10.5,,S,0,1,0,Miss,0,5,1,0,0,1,1,0,0
84,86,1,3,female,33.0,3,0,15.85,,S,0,0,1,Mrs,0,7,1,0,0,4,0,0,0
85,87,0,3,male,16.0,1,3,34.375,,S,0,0,1,Mr,1,6,1,0,0,5,0,1,0
86,88,0,3,male,31.0,0,0,8.05,,S,0,0,1,Mr,1,6,1,0,0,1,1,0,0
87,90,0,3,male,24.0,0,0,8.05,,S,0,0,1,Mr,1,6,1,0,0,1,1,0,0
88,91,0,3,male,29.0,0,0,8.05,,S,0,0,1,Mr,1,6,1,0,0,1,1,0,0
89,92,0,3,male,20.0,0,0,7.8542,,S,0,0,1,Mr,1,6,1,0,0,1,1,0,0
90,93,0,1,male,46.0,1,0,61.175,E31,S,1,0,0,Mr,1,5,1,0,0,2,0,0,0
91,94,0,3,male,26.0,1,2,20.575,,S,0,0,1,Mr,1,6,1,0,0,4,0,0,0
92,95,0,3,male,59.0,0,0,7.25,,S,0,0,1,Mr,1,6,1,0,0,1,1,0,1
93,96,0,3,male,31.0,0,0,8.05,,S,0,0,1,Mr,1,6,1,0,0,1,1,0,0
94,97,0,1,male,71.0,0,0,34.6542,A5,C,1,0,0,Mr,1,1,0,0,1,1,1,0,1
95,98,1,1,male,23.0,0,1,63.3583,D10 D12,C,1,0,0,Mr,1,4,0,0,1,2,0,0,0
96,99,1,2,female,34.0,0,1,23.0,,S,0,1,0,Mrs,0,5,1,0,0,2,0,0,0
97,100,0,2,male,34.0,1,0,26.0,,S,0,1,0,Mr,1,5,1,0,0,2,0,0,0
98,101,0,3,female,28.0,0,0,7.8958,,S,0,0,1,Miss,0,6,1,0,0,1,1,0,0
99,102,0,3,male,31.0,0,0,7.8958,,S,0,0,1,Mr,1,6,1,0,0,1,1,0,0
100,103,0,1,male,21.0,0,1,77.2875,D26,S,1,0,0,Mr,1,4,1,0,0,2,0,0,0
101,104,0,3,male,33.0,0,0,8.6542,,S,0,0,1,Mr,1,6,1,0,0,1,1,0,0
102,105,0,3,male,37.0,2,0,7.925,,S,0,0,1,Mr,1,7,1,0,0,3,0,0,0
103,106,0,3,male,28.0,0,0,7.8958,,S,0,0,1,Mr,1,6,1,0,0,1,1,0,0
104,107,1,3,female,21.0,0,0,7.65,,S,0,0,1,Miss,0,6,1,0,0,1,1,0,0
105,108,1,3,male,31.0,0,0,7.775,,S,0,0,1,Mr,1,6,1,0,0,1,1,0,0
106,109,0,3,male,38.0,0,0,7.8958,,S,0,0,1,Mr,1,6,1,0,0,1,1,0,0
107,110,1,3,female,28.0,1,0,24.15,,Q,0,0,1,Miss,0,6,0,1,0,2,0,0,0
108,111,0,1,male,47.0,0,0,52.0,C110,S,1,0,0,Mr,1,3,1,0,0,1,1,0,0
109,112,0,3,female,14.5,1,0,14.4542,,C,0,0,1,Miss,0,6,0,0,1,2,0,1,0
110,113,0,3,male,22.0,0,0,8.05,,S,0,0,1,Mr,1,6,1,0,0,1,1,0,0
111,114,0,3,female,20.0,1,0,9.825,,S,0,0,1,Miss,0,6,1,0,0,2,0,0,0
112,115,0,3,female,17.0,0,0,14.4583,,C,0,0,1,Miss,0,6,0,0,1,1,1,0,0
113,116,0,3,male,21.0,0,0,7.925,,S,0,0,1,Mr,1,6,1,0,0,1,1,0,0
114,117,0,3,male,70.5,0,0,7.75,,Q,0,0,1,Mr,1,6,0,1,0,1,1,0,1
115,118,0,2,male,29.0,1,0,21.0,,S,0,1,0,Mr,1,5,1,0,0,2,0,0,0
116,120,0,3,female,2.0,4,2,31.275,,S,0,0,1,Miss,0,8,1,0,0,7,0,1,0
117,121,0,2,male,21.0,2,0,73.5,,S,0,1,0,Mr,1,5,1,0,0,3,0,0,0
118,122,0,3,male,31.0,0,0,8.05,,S,0,0,1,Mr,1,6,1,0,0,1,1,0,0
119,123,0,2,male,32.5,1,0,30.0708,,C,0,1,0,Mr,1,5,0,0,1,2,0,0,0
120,124,1,2,female,32.5,0,0,13.0,E101,S,0,1,0,Miss,0,5,1,0,0,1,1,0,0
121,125,0,1,male,54.0,0,1,77.2875,D26,S,1,0,0,Mr,1,4,1,0,0,2,0,0,1
122,126,1,3,male,12.0,1,0,11.2417,,C,0,0,1,Master,1,6,0,0,1,2,0,1,0
123,127,0,3,male,31.0,0,0,7.75,,Q,0,0,1,Mr,1,6,0,1,0,1,1,0,0
124,128,1,3,male,24.0,0,0,7.1417,,S,0,0,1,Mr,1,6,1,0,0,1,1,0,0
125,129,1,3,female,28.0,1,1,22.3583,F E69,C,0,0,1,Miss,0,6,0,0,1,3,0,0,0
